"","SampleID","Drug","Conc","Percent","Name"
"1","ind1a","Daun",0.01,0.644790013519074,"Daunorubicin"
"2","ind1a","Daun",0.01,0.811846088285429,"Daunorubicin"
"3","ind1a","Daun",0.01,0.92502057250338,"Daunorubicin"
"4","ind1a","Daun",0.01,0.933719802503968,"Daunorubicin"
"5","ind1a","Daun",0.05,0.88473970890258,"Daunorubicin"
"6","ind1a","Daun",0.05,0.910469684793285,"Daunorubicin"
"7","ind1a","Daun",0.05,1.01040271452808,"Daunorubicin"
"8","ind1a","Daun",0.05,1.11559067773908,"Daunorubicin"
"9","ind1a","Daun",0.1,0.697806971077445,"Daunorubicin"
"10","ind1a","Daun",0.1,0.906128827206272,"Daunorubicin"
"11","ind1a","Daun",0.1,0.960197054772751,"Daunorubicin"
"12","ind1a","Daun",0.1,1.04611717342939,"Daunorubicin"
"13","ind1a","Daun",0.5,0.475853405277113,"Daunorubicin"
"14","ind1a","Daun",0.5,0.630189501399937,"Daunorubicin"
"15","ind1a","Daun",0.5,0.696584524670412,"Daunorubicin"
"16","ind1a","Daun",0.5,0.775129331924125,"Daunorubicin"
"17","ind1a","Daun",1,0.328328276678156,"Daunorubicin"
"18","ind1a","Daun",1,0.412581783657716,"Daunorubicin"
"19","ind1a","Daun",1,0.519432003467421,"Daunorubicin"
"20","ind1a","Daun",1,0.558357928628924,"Daunorubicin"
"21","ind1a","Daun",5,0.0373435065283972,"Daunorubicin"
"22","ind1a","Daun",5,0.158293482349148,"Daunorubicin"
"23","ind1a","Daun",5,0.201005677645837,"Daunorubicin"
"24","ind1a","Daun",5,0.320061612308133,"Daunorubicin"
"25","ind1a","Daun",10,0,"Daunorubicin"
"26","ind1a","Daun",10,0.00161125264005918,"Daunorubicin"
"27","ind1a","Daun",10,0.0142345461275502,"Daunorubicin"
"28","ind1a","Daun",10,0.036068108084569,"Daunorubicin"
"29","ind1a","Daun",50,0,"Daunorubicin"
"30","ind1a","Daun",50,0,"Daunorubicin"
"31","ind1a","Daun",50,0,"Daunorubicin"
"32","ind1a","Daun",50,0.0063202697965169,"Daunorubicin"
"33","ind1a","Doxo",0.01,0.645969258802092,"Doxorubicin"
"34","ind1a","Doxo",0.01,0.704755187209781,"Doxorubicin"
"35","ind1a","Doxo",0.01,0.734688179627344,"Doxorubicin"
"36","ind1a","Doxo",0.01,0.804087315582202,"Doxorubicin"
"37","ind1a","Doxo",0.05,0.798365925529065,"Doxorubicin"
"38","ind1a","Doxo",0.05,0.830132154656666,"Doxorubicin"
"39","ind1a","Doxo",0.05,1.02933297615859,"Doxorubicin"
"40","ind1a","Doxo",0.05,1.05267434592374,"Doxorubicin"
"41","ind1a","Doxo",0.1,0.808602606208285,"Doxorubicin"
"42","ind1a","Doxo",0.1,1.05188579298655,"Doxorubicin"
"43","ind1a","Doxo",0.1,1.22710562559593,"Doxorubicin"
"44","ind1a","Doxo",0.1,1.42286259137621,"Doxorubicin"
"45","ind1a","Doxo",0.5,0.696723591255493,"Doxorubicin"
"46","ind1a","Doxo",0.5,0.769548126309544,"Doxorubicin"
"47","ind1a","Doxo",0.5,0.830616899371419,"Doxorubicin"
"48","ind1a","Doxo",0.5,1.04966994863807,"Doxorubicin"
"49","ind1a","Doxo",1,0.308163574195235,"Doxorubicin"
"50","ind1a","Doxo",1,0.405375190054557,"Doxorubicin"
"51","ind1a","Doxo",1,0.441783107331806,"Doxorubicin"
"52","ind1a","Doxo",1,0.555459754130278,"Doxorubicin"
"53","ind1a","Doxo",5,0.334031844966239,"Doxorubicin"
"54","ind1a","Doxo",5,0.393902351655831,"Doxorubicin"
"55","ind1a","Doxo",5,0.562216789353966,"Doxorubicin"
"56","ind1a","Doxo",5,0.578851217022191,"Doxorubicin"
"57","ind1a","Doxo",10,0.427667820671936,"Doxorubicin"
"58","ind1a","Doxo",10,0.490767957846147,"Doxorubicin"
"59","ind1a","Doxo",10,0.58557057939774,"Doxorubicin"
"60","ind1a","Doxo",10,0.668071069305637,"Doxorubicin"
"61","ind1a","Doxo",50,0.00660665702167161,"Doxorubicin"
"62","ind1a","Doxo",50,0.0237849528201735,"Doxorubicin"
"63","ind1a","Doxo",50,0.0242046582363485,"Doxorubicin"
"64","ind1a","Doxo",50,0.0809488305032021,"Doxorubicin"
"65","ind1a","Epi",0.01,0.638100276259331,"Epirubicin"
"66","ind1a","Epi",0.01,0.734269382237113,"Epirubicin"
"67","ind1a","Epi",0.01,0.781428172573914,"Epirubicin"
"68","ind1a","Epi",0.01,1.06156321636396,"Epirubicin"
"69","ind1a","Epi",0.05,0.699245468345388,"Epirubicin"
"70","ind1a","Epi",0.05,0.839673185105813,"Epirubicin"
"71","ind1a","Epi",0.05,1.0351995713903,"Epirubicin"
"72","ind1a","Epi",0.05,1.09617823019912,"Epirubicin"
"73","ind1a","Epi",0.1,0.864222904968747,"Epirubicin"
"74","ind1a","Epi",0.1,0.95835363915669,"Epirubicin"
"75","ind1a","Epi",0.1,1.23436804746265,"Epirubicin"
"76","ind1a","Epi",0.1,1.27389024261045,"Epirubicin"
"77","ind1a","Epi",0.5,0.601713300328197,"Epirubicin"
